Payout Ratio [FY 1997] (%),Payout Ratio [FY 1998] (%),Payout Ratio [FY 1999] (%),Payout Ratio [FY 2000] (%),Payout Ratio [FY 2001] (%),Payout Ratio [FY 2002] (%),Payout Ratio [FY 2003] (%),Payout Ratio [FY 2004] (%),Payout Ratio [FY 2005] (%),Payout Ratio [FY 2006] (%),Payout Ratio [FY 2007] (%),Payout Ratio [FY 2008] (%),Payout Ratio [FY 2009] (%),Payout Ratio [FY 2010] (%),Payout Ratio [FY 2011] (%),Payout Ratio [FY 2012] (%),Payout Ratio [FY 2013] (%),Payout Ratio [FY 2014] (%),Payout Ratio [FY 2015] (%),Payout Ratio [FY 2016] (%),"Repurchase of Common Stock [FY 1997]($USDmm, Current rate)","Repurchase of Common Stock [FY 1998]($USDmm, Current rate)","Repurchase of Common Stock [FY 1999]($USDmm, Current rate)","Repurchase of Common Stock [FY 2000]($USDmm, Current rate)","Repurchase of Common Stock [FY 2001]($USDmm, Current rate)","Repurchase of Common Stock [FY 2002]($USDmm, Current rate)","Repurchase of Common Stock [FY 2003]($USDmm, Current rate)","Repurchase of Common Stock [FY 2004]($USDmm, Current rate)","Repurchase of Common Stock [FY 2005]($USDmm, Current rate)","Repurchase of Common Stock [FY 2006]($USDmm, Current rate)","Repurchase of Common Stock [FY 2007]($USDmm, Current rate)","Repurchase of Common Stock [FY 2008]($USDmm, Current rate)","Repurchase of Common Stock [FY 2009]($USDmm, Current rate)","Repurchase of Common Stock [FY 2010]($USDmm, Current rate)","Repurchase of Common Stock [FY 2011]($USDmm, Current rate)","Repurchase of Common Stock [FY 2012]($USDmm, Current rate)","Repurchase of Common Stock [FY 2013]($USDmm, Current rate)","Repurchase of Common Stock [FY 2014]($USDmm, Current rate)","Repurchase of Common Stock [FY 2015]($USDmm, Current rate)","Repurchase of Common Stock [FY 2016]($USDmm, Current rate)"
0,0,0,18.9268,20.8001,35.0458,-,80.8463,63.9647,77.2501,9.593,11.4631,39.1627,51.8217,-,-,-,0.1239,11.4479,-,0,0,0,0,0,0,0.09976,0.01995,0.0399,0.0399,0.14963,0.27932,0.17956,0.01995,0.01995,0,0,0,0,50.02743
11.0813,34.8425,18.5078,-,15.9681,56.9926,11.3458,12.784,13.2699,19.1308,73.2818,81.1226,-,0,16.0919,85.8443,-,0,5.1584,9.5122,0,0,0,0,0,0,0,0,0,0.43893,29.97656,0,0,0,0,0,0,0,0,0
0,0,0,32.0103,7.2355,-,-,7.4976,19.4388,15.4962,26.188,34.8761,-,-,-,0.0672,16.687,22.9478,17.912,16.1665,0,0,0,0,0,24.44012,77.33054,2.02504,1.62602,0.27932,0.23941,65.86862,0.09976,0.13966,0.10973,0.04988,0.00998,0.06983,0.0399,0.0399
0,0,17.0538,16.1348,8.4166,-,-,14.2073,12.8867,11.1712,21.0034,64.6223,-,-,55.6433,-,-,-,10.3981,52.1063,0,0,30.92424,6.05517,2.25448,0.42895,107.06769,0.30924,543.77775,0.56861,0.67834,364.74638,0.05985,0.0399,102.42905,0,0,0,0,0
28.5805,25.483,43.3811,24.2288,5.6142,39.9743,30.0789,18.1711,27.4766,29.3747,19.372,22.9066,82.1798,58.703,19.3175,32.6045,36.6103,32.2502,28.2243,40.234,0,0,0,96.90259,17.31757,6.26465,419.07328,0.32919,1.69585,1.69585,2.50387,2.10484,381.25593,0.58856,0.68831,5.3868,0,0,0,0
0,0,0,7.0186,8.7573,19.0476,40.2406,-,-,37.7812,9.2088,11.1999,-,-,-,-,43.95,16.8121,10.7519,7.9655,0,0,0,0,0,0.57858,2.29438,9.97556,0.63844,0.57858,1.08734,1.19707,20.38007,0.17956,0.27932,0.0399,0.0798,0.02993,0,0
0,0,0,0,0,-,0,0,4.7945,11.9453,13.6794,80.4238,-,0,0,25.5984,-,0,5.8736,8.828,0,0,0,0.00998,0,0.06983,0.82797,1.01751,0.39902,6.71355,69.9586,43.1044,0.15961,0.04988,0.10973,0.04988,0.0399,0.05985,0.10973,10.07532
24.8599,25.3327,24.8213,18.1143,14.962,13.5066,14.0333,12.1352,17.7922,16.6685,16.3259,21.2543,387.7488,84.5215,128.5185,-,46.8968,32.8558,35.4204,39.7125,0,0,0,0,0,10.51424,172.38765,113.83112,105.98035,106.26964,7.97047,157.31458,6.42426,1.82553,1.56616,0.22944,0.38905,1.42651,0.18954,0.15961
0,0,0,75.5346,24.6025,-,47.3186,16.0236,19.0382,21.0444,78.5724,42.6696,-,54.4655,43.7439,31.5666,-,14.8617,29.4957,40.1257,0,0,0,2.58367,0,26.46516,57.64876,0.75814,26.71455,171.4699,299.53614,0.68831,199.73066,0.02993,0.0399,0.00998,0.00998,0.05985,0.05985,49.93765
13.9849,15.6253,196.4094,10.5552,7.6323,-,-,16.982,6.0762,20.4041,14.0726,22.0483,177.9132,-,11.4509,62.9026,153.3245,-,24.9318,42.3835,0,0,0,4.5289,18.54457,14.92344,82.03901,0,28.33059,0,0,0,0.19951,0,-4.25956,0.11971,0.14963,0.28929,1.82553,1052.7408
0,0,0,-,11.4305,10.5679,14.6768,20.7857,27.9065,24.8918,19.3949,50.6403,31.8961,47.1734,45.1102,55.2683,38.6814,72.2849,52.3799,26.5633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,24.2054,20.7443,19.5203,27.7772,67.111,-,44.6179,75.9393,30.5328,45.7713,40.4415,68.1809,56.8499,44.727,24.7218,52.5201,130.2127,35.612,30.2871,0,9.15756,0,0,0,149.69325,106.33947,0.02993,25.98633,0.70827,0.92773,0.30924,55.62372,0.02993,1.00753,0.28929,0.05985,0,0,99.88528
11.1921,15.4939,5.1452,4.1621,5.8387,6.2074,4.365,2.6514,0.5049,0,0,0,0,0,0,0,0,0,0,-,275.644,379.203,479.161,255.456,485.115,293.241,84.777,608.681,600.099,1364.412,1951.527,1722.715,350.013,850.02,695.015,405,1100,600,625,-
0,0,0,0,0,0,0,13.1421,28.6889,36.6619,45.9403,28.3014,94.0332,35.1031,32.468,52.9302,60.2765,72.1771,70.4655,-,0,84.192,0,0,21.831,97.75,0.052,137.083,525.493,1024.982,1647.212,569.853,3.762,39.848,330.489,161.046,60.529,356.346,226.953,-
25.1946,25.1352,25.9934,25.2828,26.8679,25.1514,27.9512,32.9841,32.6795,25.3474,40.5111,44.4201,47.2309,55.5885,55.2065,53.2733,57.2983,58.2558,63.8623,-,127.709,40.907,85.365,201.007,935.064,875.449,938.6,629.9,584.4,1299.9,1900.4,1504.8,580.4,766.4,732.8,741.3,647.3,667.3,1557.2,-
25.7509,20.0836,12.0681,148.6643,14.5656,14.4962,42.5213,11.1388,6.1058,1.0191,0,0,0,0,0,0,0,0,0,0,67.269,174.907,48.866,90.072,359.293,97.293,64.817,178.5,546.3,446.6,154.4,563,256.6,63.2,280.3,327.4,431.2,423.8,372.4,458
-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0,0,0,0,0,0,0,0,0,66.497,92.425,324.07,141.468,160.419,268.647,302.606,-
0,0,0,0,0,0,0,0,8.1031,16.5351,17.8735,33.87,-,37.2068,20.6126,398.1651,178.125,45.2425,35.3667,-,78.197,158.915,61.913,177.154,371.4,124.995,249.937,650,1677.511,4157.725,1331.997,1499.984,23,350,468,1416,245,0,1325,-
-,-,-,-,-,-,-,-,0,0,0,0,0,45.2153,17.8801,17.7545,21.3861,17.6047,19.0582,-,-,-,-,-,-,-,-,-,-,0,0,207,1109,959,692,315,5830,0,0,-
-,-,-,-,-,-,-,-,0,-,0,0,0,0,15.5797,24.3339,35.8695,107.9847,29.912,-,-,-,-,-,-,-,-,-,-,0,2,5,6,0,93,110,95,12,0,-
9.5628,3.4217,7.0287,6.1781,-,-,-,-,195.8333,58.4905,74.5762,17.1189,12.3695,10.7652,9.9153,20.1892,48.4816,49.5623,52.4822,54.7892,317,163,1090,0,449,95,106,56,161,590,1216,500,4,227,235,1053,493,507,215,707
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,0,105.36,27.835,16.259,59,374.147,520.845,179,248.3,460,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,157.85,210.222,164.372,124.554,121.903,174.35,274.161,259.97,256.458,214.944,433.739,424.849,251.008,406.326,1640.885,755.704,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.001,0,0,11.922,0,0,41,709,0,0,0,0,58,471,349,0,337,1018
101.583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,1666.54,1485.397,2177.942,0,711,1064,898,1343,4658,2149,-
-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0.245,0,0,1.082,0,0,0,0,0,0,200,87.436,75,271.526,184.776,200,650.542,606.858,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,42.43,28.713,9.884,0,33.578,0,64.344,653,560,469,441,175,413,533,634,578,1148,1522,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.1744,19.0874,29.0393,28.2196,25.4044,-,0,0,0,0,0,0,75.451,3.144,48.494,119.053,3.737,40.739,73.169,35.725,160.669,214.195,162.078,139.238,123.193,-
-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4747,23.6596,24.2557,77.5342,-,0,0,0,0,8.363,318.35,814.327,610.184,709.887,784.186,506.751,800,300,900,1360,900,292,1577,1245,-
0,0,0,0,0,0,0,0,5.3126,25.0617,17.9998,30.2217,-,48.2378,21.0699,30.8936,48.9539,51.2858,76.7578,-,0,16.038,48.767,27.978,153.632,123.22,65.912,55.806,203.658,221.417,808.461,1111.17,226.515,136.275,234.844,263.864,273.254,240.843,602.888,-
11.1348,10.1248,11.3668,9.708,9.6299,27.3264,27.8133,26.669,25.5711,35.8948,46.7439,48.1179,67.3151,56.7616,37.3981,57.3917,59.3055,55.5057,53.4402,-,11.598,56.445,108.736,0,69.799,221.551,230.005,331.937,257.218,342.769,3215.574,98.964,29.116,14.671,38.173,76.066,85.699,81.786,124.24,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7033,-,0,0,18.896,31.584,45.07,10.678,39.122,0,167.081,251.211,1083.745,14.552,30.946,93.032,360.905,772.663,955.661,244.859,573.24,-
0,0,0,0,0,0,9.2132,16.9901,20.1122,49.5562,58.23,84.8938,100.4356,115.0001,61.2987,79.0537,214.9494,71.1402,77.6344,89.805,19.463,31.481,87.437,4.772,0,27.777,26.52,53.864,68.276,3.32,0,1138.04,123.929,0,0,0,0,0,0,363.829
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,68,0,0,0,0,2,21,163,6,5,76,884,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.6614,37.1428,91.703,0.052,0.001,0.28,0,0,0,0,136.172,192.903,488.908,805.708,903.7,400,0,0,600,590,1881,1165,960
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3312,41.1363,29.477,34.6905,0,0,0,0,0,0,0,0,24.644,188.509,274.978,552.512,423.636,0,0,0,100,887,814,587
32.0918,35.0923,38.8608,42.9368,48.304,57.3636,56.3799,58.5601,52.3184,49.8057,58.4566,76.7421,83.9175,94.0461,87.0948,84.0328,83.7785,81.3705,81.7602,80.14,0,0,0,0,0,0,0,0,0,0,0,999.999,0,0,0,0,0,249.7,182.4,107.9
-,-,-,0,0,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-,-,-,-,1.17,0,-,-,-,-,-,-,-,-,-,-,0,0,0,0,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.662,0,0,12.652,30.373,6.999,12.78,50.874,1300.009
-,0,0,0,0,130.7189,44.9297,17.0132,17.256,18.4523,23.2201,17.2661,-,0,14.4814,12.9979,28.1828,35.4777,38.1171,-,-,-,861,76,1007,0,0,0,0,399,1526,1479,0,584,822,2426,1654,1912,1087,-
-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0452,15.4202,-,-,-,-,0,0,0,0,0,0,0.173,31.681,2.063,2.389,4.412,90.1,31,203.5,187.8,291.5,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5478,47.0387,17.2829,0,21.346,56.341,18.73,244.41,204.42,64.332,60,191.916,3628.165,2846.312,1500,700,553,872,893,826,500,500,1868
7.1118,29.4247,9.235,4.6108,-,-,12.2704,8.2751,7.444,4.5841,15.9954,27.9687,38.5714,18.3395,28.8014,46.5605,54.3478,46.8982,48.359,-,86,256,473,155,395,370,284,753,4151,5302,4886,2122,954,2454,1973,1800,2868,2831,2741,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,69.514,0,0,113.257,548.63,135,1156.491,1327.378,260.571,449.749,550.097,325.68,1035.617,883.403,643.169,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4693,16.0173,27.0307,-,144.574,35.828,0,0,0,0,0,16,45,54,73,60,36,0,50,604,842,816,970,-
0,0,0,0,0,0,0,0,22.2737,27.4432,34.4575,37.9009,42.7221,46.3371,26.3403,37.7983,47.2722,42.4092,47.2308,57.9065,32.028,93.795,113.804,5.289,402.796,125.58,60.846,62.328,133.755,401.584,1430,550,275,149.997,468.943,219.638,197.689,241.076,651.006,443.181
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,59.988,100,0,69.558,999.156,2009.845,1833.919,79.236,113.444,1749.311,1618.741,2167.841,3344.396,4163.227,203.771,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,0,0,6.151,0,0,0,145.043,145.998,108.536,1000.853,445.891,148.717,240.877,125.84,231.085,286.618,951.55,-
0,0,0,0,0,0,0,0,3.8935,4.1941,3.0323,2.5329,3.234,2.0976,1.9614,12.6238,15.2273,14.3703,20.8644,-,1048.49,0,0,0,0,0,0,45.643,8.704,72.658,93.594,293.625,0,0,672.191,380.1,324.7,539.4,248.9,-
-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,0.227,0.342,0.017,0.254,0.028,0.012,0,0,0,0,0,0,0,0,0
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,18.6493,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,50.913
-,-,-,-,0,0,0,0,169.9313,14.7433,6.8959,17.7839,44.7592,16.7861,12.862,50.9106,51.9772,40.5094,48.2501,-,-,-,-,-,-,0,0,0,0,160.5,80.3,236.1,0,2539.7,364.2,511.3,475.9,521.9,320.4,-
36.3596,39.9477,34.3023,50,-,-,0,0,0,0,7.3488,5.9539,15.5378,8.797,12.5665,28.8508,28.8628,23.9077,50.7094,-,70.6,84.1,114,57,0,31,0,0,0,0,250,625,0,0,780,720,1516,2483,3228,-
-,0,0,0,6.1644,24.5679,11.1031,9.6568,6.6795,5.0476,4.5053,3.9181,17.2421,3.1955,3.0529,3.354,2.8677,2.347,1.9205,-,-,-,0,0,0,0,0,0,0,0,0,87.02,0,98.08,14.9,104.465,185.541,452.988,388.077,-
29.0602,52.7067,144.0677,166.1111,62.1495,15.9806,35.6302,20.0301,15.7764,17.9487,12.1149,18.3475,281.2664,20.4772,21.5986,456.2091,146.0176,33.6448,59.2814,-,0,0,15.7,232.8,92.2,0,6,56.5,56.4,44.9,251.3,243.4,132.3,208,256.1,473.5,415,309,166,-
-,-,-,0,0,0,0,0,0,24.6523,6.8148,-,5.3998,4.2795,4.0398,4.7843,8.1835,14.2383,19.0913,-,-,-,-,-,0,0,0,0,0,1799.937,600.532,649,0,0,1148,1748,2443,3386,3518,-
24.2372,-,32.6599,25.2655,-,-,37.178,24.6736,8.6063,12.1005,-,-,-,0,6.2176,30.6469,26.5696,24.4803,45.4098,-,0,0,0,0,0,0,0,0,874,3826,3035,138,0,0,1110,2438,1694,2546,3177,-
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0.001,6.44,6.672,0.764,0,99.973,16.716,1.664,67.157,42.319,236.393,90.146,133.22,120.662,239.363,535.062,262.643
-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,0,176,174,88,127,277,382,551,657,-
-,-,-,-,-,0,0,0,0,0,0,16.064,-,26.2012,23.7751,29.8561,30.094,24.8736,20.7438,-,-,-,-,-,-,-,-,-,0,0,0,1242,152,488,865,185,844,578,1023,-
12.2546,12.3843,11.3539,10.0152,10.725,10.1522,10.4736,15.6889,20.2642,20.5764,23.267,22.1707,25.6527,28.4031,24.4601,38.4947,23.0888,23.1658,20.2384,-,0,0,1.29075,2.0773,0,0,9.825,1.189,0,22.874,0,35.698,0.328,46.228,121.271,74.939,103.857,170.516,242.235,-
-,-,-,-,-,-,0,0,0,0,0,11.5671,13.5146,12.4072,11.589,27.7518,17.3493,18.4994,18.5998,-,-,-,-,-,-,-,-,0,0,0,0,13446,2646,1000,2024,710,5429,4204,3018,-
-,-,-,-,-,-,51.1598,87.786,44.9859,324.0262,3.4993,3.0903,4.8539,18.1668,16.6638,24.7782,34.7194,31.1121,37.7775,-,-,-,-,-,-,-,-,0,0,19.9,726.8,1314.5,400.2,581.4,803.9,766.5,399.7,495.4,511.3,-
32.7134,194.5054,69.4312,-,-,73.6263,15.8333,9.6623,5.9304,3.5537,0,66.9565,30.7216,37.9537,20.4633,21.3389,25.5392,30.8983,68.7763,-,0,172,0,0,0,0,0,0,433,1069,632,845,0,0,701,1052,696,1071,1302,-